avg_recall,avg_time_per_query_s,build_time_s,method,param_M,param_kproj,param_probes,param_w,qps,recall_n
0.041666666666666664,0.0008257332507734342,0.267779656991479,Hypercube,500,12,5,4.0,1211.0448490033996,50
0.045000000000000005,0.0004535255817851673,0.1850459889974445,Hypercube,500,12,10,4.0,2204.9472844812863,50
0.04833333333333333,0.0004042587509805647,0.18748065699764993,Hypercube,500,12,20,4.0,2473.663210937087,50
0.04833333333333334,0.0006522638310949939,0.20184758299728855,Hypercube,1000,12,5,4.0,1533.1219551469546,50
0.05333333333333334,0.0010946169168164488,0.1962476750049973,Hypercube,1000,12,10,4.0,913.561616522765,50
0.05666666666666667,0.0007197167481839036,0.2201309320080327,Hypercube,1000,12,20,4.0,1389.4355001788535,50
0.03,0.00022607991801730046,0.22261004900792614,Hypercube,500,14,5,4.0,4423.21462591594,50
0.06833333333333333,0.00023812441577319987,0.22549825999885798,Hypercube,500,14,10,4.0,4199.485368826873,50
0.08166666666666667,0.0004601915849586173,0.2199027149908943,Hypercube,500,14,20,4.0,2173.0080094574632,50
0.03,0.0002946792495398161,0.2017131119937403,Hypercube,1000,14,5,4.0,3393.5202480719063,50
0.07166666666666667,0.00048786108042501536,0.2262435739976354,Hypercube,1000,14,10,4.0,2049.7638367233944,50
0.09666666666666666,0.0005021355003312541,0.2245734710013494,Hypercube,1000,14,20,4.0,1991.494326412511,50
0.024999999999999998,0.00036392491771645535,0.25155472100595944,Hypercube,500,16,5,4.0,2747.819540016025,50
0.024999999999999998,0.00025632507822592743,0.23974220700620208,Hypercube,500,16,10,4.0,3901.295990705171,50
0.024999999999999998,0.00026266283384757116,0.23417565500130877,Hypercube,500,16,20,4.0,3807.1621529078657,50
0.034999999999999996,0.0006206115018964434,0.23297291000199039,Hypercube,1000,16,5,4.0,1611.313997475448,50
0.05833333333333334,0.0004443885821577472,0.2357245680032065,Hypercube,1000,16,10,4.0,2250.2828383764013,50
0.09166666666666667,0.000470144665693321,0.2363824629865121,Hypercube,1000,16,20,4.0,2127.004883752755,50
