avg_recall,avg_time_per_query_s,build_time_s,method,param_kclusters,param_nprobe,qps,recall_n
0.17166666666666666,0.0017087271674730193,7.813535798995872,IVF-Flat,25,1,585.2309362406096,50
0.24166666666666667,0.012926732833875576,7.310524040003656,IVF-Flat,25,5,77.35906766630289,50
0.25166666666666665,0.021328782831308974,7.22613674600143,IVF-Flat,25,10,46.885000794891994,50
0.15333333333333335,0.0012058750823295366,8.305287473995122,IVF-Flat,50,1,829.2732926101911,50
0.245,0.005569588171056239,8.009553627998685,IVF-Flat,50,5,179.54648876855038,50
0.25333333333333335,0.00913834107996081,8.037166011010413,IVF-Flat,50,10,109.42905186509941,50
0.16833333333333333,0.00045151374918835546,9.298479926001164,IVF-Flat,100,1,2214.7719793641004,50
0.25166666666666665,0.0023687575824927385,9.142384727005265,IVF-Flat,100,5,422.1622370270832,50
0.25,0.005805415832583094,10.680479760005255,IVF-Flat,100,10,172.25294945927317,50
